"id","imagex","imagey","posx","posy","type","version","niveau"
1,1,4,0,15,1,0,1
2,2,3,4,5,1,0,1
3,1,4,6,13,1,0,1
4,3,3,4,11,1,0,1
5,3,3,9,8,1,0,1
6,0,4,0,0,1,0,1
7,3,1,4,1,1,0,1
8,0,3,12,3,1,0,1
9,3,2,11,2,1,0,1
10,2,4,11,5,1,0,1
11,3,4,2,6,1,0,1
12,0,0,2,2,1,0,2
13,0,0,1,5,1,0,2
14,0,0,14,13,1,0,2
15,0,0,14,13,1,0,2
16,0,0,5,12,1,0,2
17,0,0,15,8,1,0,2
18,0,0,7,4,1,0,2
19,1,0,9,15,1,0,2
20,1,0,14,15,1,0,2
21,1,0,10,6,1,0,2
22,4,0,10,10,1,0,2
23,0,0,14,0,1,0,2
24,0,0,1,12,1,0,2
25,0,0,0,5,1,0,4
26,0,0,3,5,1,0,4
27,0,0,1,5,1,0,4
28,0,0,3,2,1,0,4
29,0,0,1,1,1,0,4
30,0,0,1,3,1,0,4
31,0,0,9,3,1,0,4
32,0,0,6,4,1,0,4
33,0,0,8,5,1,0,4
34,0,0,5,1,1,0,4
35,0,0,8,0,1,0,4
36,0,0,9,1,1,0,4
